NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
1.76,0.55,0.03,0.22,high,86,68,7.9,725
1.21,0.57,0.7,0.07,high,73,37,8,89
0.64,1.22,0.01,0.67,high,87,68,7.8,98
2.21,0.12,0,0.2,high,83,50,7,125
1.13,1.12,0.06,0.22,high,80,15,7.9,46
0.26,1.65,0.33,0.28,high,75,15,8,5
2.1,0.19,0,0.23,high,87,23,4.9,150
1.48,0.83,0,0.21,high,78,8,7,20
1.11,0.85,0.29,0.25,high,50,23,5.4,16
2.29,0.02,0,0.19,high,82,68,7.5,120
1.81,0.52,0,0.15,high,79,31,8.8,96
1.47,0.77,0,0.24,high,25,8,4.3,26
1.03,0.81,0.26,0.38,high,92,100,8.6,6383
1.13,0.36,0.92,0.07,high,70,26,7.4,74
1.38,0.84,0,0.25,high,85,55,7.7,83
1.93,0.33,0,0.21,high,92,72,8.2,178
1.73,0.43,0.05,0.27,high,90,26,8,99
0.86,1.04,0.18,0.38,high,82,50,7.7,384
1.15,0.84,0.1,0.38,high,87,79,6.1,1889
1.47,0.54,0.01,0.43,high,83,50,7,291
0.93,0.12,1.34,0.06,high,83,12,8.2,190
1.56,0.53,0.05,0.31,high,82,50,8.2,100
1.07,1.19,0,0.18,high,81,26,8.4,42
1.28,0.93,0,0.22,high,79,13,8,34
1.46,0.74,0,0.22,high,78,17,3.1,290
2.08,0.08,0,0.26,high,84,23,6.1,124
1.56,0.6,0.02,0.23,high,82,66,7.8,176
0.87,0.97,0,0.58,high,73,14,7.9,39
1.63,0.22,0.51,0.06,high,66,28,8.2,92
0.29,1.17,0.54,0.41,high,77,40,6.8,85
2.07,0.26,0,0.08,high,82,16,8.4,53
0.69,0,0.04,1.68,high,62,11,6.2,34
1.44,0.7,0.04,0.22,high,82,73,8.1,487
1.67,0.61,0.03,0.07,high,91,65,8.7,173
2.04,0.15,0,0.2,high,83,36,6.1,68
1.48,0.69,0,0.2,high,71,75,6.9,627
2.28,0.02,0.08,0,high,96,81,9.1,8665
0.96,1.08,0.04,0.3,high,62,36,7.6,22
2.18,0.01,0,0.18,high,85,46,6.4,108
1.25,0.86,0.01,0.26,high,83,59,8.8,55
1.74,0.45,0,0.18,high,42,10,5.5,16
2.03,0.13,0,0.21,high,85,41,6.8,58
1.68,0.45,0.01,0.21,high,81,66,8.5,142
1.73,0.43,0.02,0.17,high,73,33,2.9,67
0.92,0,0.01,1.41,high,71,11,7.2,31
1.15,0.55,0.47,0.17,high,89,82,9,478
1.51,0.61,0,0.21,high,78,22,6.6,28
1.08,0.7,0.34,0.21,high,84,21,8.4,189
1.95,0.15,0,0.24,high,86,14,6.2,115
1.38,0.72,0.02,0.22,high,66,46,6.5,39
0.85,1.06,0.09,0.32,high,84,42,9.1,51
1.58,0.64,0,0.09,high,86,14,8.5,28
0.96,1.07,0,0.27,high,90,69,7.9,2954
1.12,0.41,0.64,0.14,high,75,69,5.6,382
1.07,0.8,0.04,0.38,high,76,46,7.7,668
1.02,0.9,0,0.36,high,80,18,6.7,87
1.38,0.8,0,0.1,high,77,35,8.7,27
