Global_Sales,Critic_Score,User_Score
high,81,8.4
high,70,6.9
high,85,8.7
high,52,6.7
high,69,6.9
high,71,7.4
high,60,7.7
high,63,7.6
high,87,8.6
high,60,7.8
high,74,7.3
high,78,4.1
high,78,8
high,79,6.9
high,75,8.4
high,79,7.7
high,73,7.3
high,68,6.9
high,73,7.1
high,70,7.4
high,81,8.2
high,79,8.4
high,84,7.7
high,77,4.8
high,64,7.8
high,78,7
high,83,6.7
high,83,7.6
high,47,4.5
high,87,9.1
high,92,7.8
high,83,8.9
high,79,6.8
high,77,7.9
high,79,6.2
high,70,6.1
high,90,8.5
high,85,6.9
high,64,7.5
high,70,5.5
high,81,8.7
high,85,8.6
high,71,8.8
high,90,8
high,83,8.6
high,61,4.8
high,66,7
high,77,7.8
high,73,7.1
high,39,5.6
high,76,8
high,80,6.8
high,59,8.7
high,71,7.5
high,63,3.3
high,86,7.1
high,61,6.7
high,81,9.2
high,80,7.8
high,85,8.5
high,82,8.4
high,87,7.5
high,48,6.4
high,73,7.7
high,60,6.1
high,79,7.1
high,79,7.8
high,74,8.2
high,70,6.7
high,78,5.4
high,76,8.1
high,77,7.2
high,76,8.3
high,63,8.9
high,92,8.9
high,90,8.7
high,57,7.4
high,86,5.7
high,81,6.8
high,56,8.1
high,75,7.9
high,76,6.5
high,80,7.6
high,78,8.3
high,77,3.4
high,71,7
high,78,7.6
high,73,7.3
high,90,8.8
high,76,6.7
high,88,8.3
high,70,5.7
high,70,7
high,70,8.1
high,74,7.4
high,74,5.2
high,73,7.6
high,50,6.5
high,71,7.5
high,61,5.2
high,86,7.8
high,82,8.5
high,85,7.6
high,68,6.6
high,76,8
high,91,8.5
high,67,6.3
high,83,6.2
high,77,6.7
high,84,8.6
high,85,9.1
high,77,8.3
high,83,8.2
high,85,7.5
high,83,7.8
high,81,8.1
high,75,7.8
high,80,7.3
high,80,8.4
high,70,7.1
high,70,7.9
high,79,4.1
high,68,8.1
high,71,7.5
high,78,8.1
high,84,7.5
high,78,7.8
high,84,8.3
high,78,8.3
high,51,7.8
high,77,6.4
high,82,8.5
high,74,7.3
high,61,5.5
high,93,8.2
high,75,7.6
high,86,8.1
high,82,7.8
high,88,8.8
high,76,6.8
high,48,6.6
high,69,7.2
high,81,8.8
high,80,7.9
high,80,7.7
high,68,7.2
high,69,8.1
high,63,6.8
high,73,6.9
high,69,7.3
high,87,7.9
high,83,7.4
high,85,8.1
high,88,9
high,65,8.1
high,62,4.9
high,76,8.3
high,92,8.3
high,55,8.2
high,77,6.3
high,72,7.1
high,76,8.5
high,80,6.2
high,76,8.5
high,81,8.3
high,74,8.4
high,53,5.8
high,72,6.5
high,76,7.9
high,72,9.1
high,83,8.1
high,73,7.3
high,81,7
high,88,8.9
high,81,7.6
high,71,7.2
high,82,8.2
high,83,7.7
high,65,8
high,86,8.2
high,72,7.7
high,64,7.9
high,75,8.4
high,85,7.4
high,78,8.7
high,74,7
high,84,7.1
high,61,7.4
high,71,7.9
high,78,7.9
high,84,8.9
high,83,7.8
high,84,7.8
high,62,5.3
high,83,8.4
high,86,8.1
high,77,6.2
high,51,4.9
high,67,6.8
high,89,9
high,86,8.4
high,57,6.7
high,82,7.2
high,75,8.8
high,78,6.6
high,60,7.4
high,49,4.4
high,57,5
high,82,5.8
high,77,7.8
high,78,6.7
high,79,8.5
high,83,8.8
high,77,8.2
high,69,7.4
high,84,5.3
high,84,7.8
high,75,7.6
high,82,4.3
high,70,1.8
high,78,7.8
high,81,8.2
high,86,7.9
high,65,8.2
high,83,8
high,75,6.4
high,78,9
high,77,7.6
high,90,8.9
high,74,8.8
high,63,7
high,86,8
high,78,8.7
high,73,6.1
high,66,8.7
high,81,8.8
high,60,7.6
high,86,8.7
high,78,7.6
high,70,8.2
high,73,5.9
high,80,6.9
high,74,7.1
high,75,4.4
high,60,7.5
high,75,8.2
high,80,8.3
high,79,8.5
high,45,7.8
high,80,8.1
high,87,8.2
high,83,7.5
high,72,4.6
high,84,8.1
high,57,7
high,57,7.3
high,73,8.6
high,71,6.3
high,48,6.4
high,74,5.8
high,85,5.3
high,34,5.3
high,83,8
high,76,5.4
high,74,7
high,78,8.4
